id, model-name, radio
16 , vgg19 , 1.0
21 , vgg19 , 1.0
25 , vgg19 , 1.0
28 , vgg19 , 1.0
32 , vgg19 , 1.0
36 , vgg19 , 1.0
40 , vgg19 , 1.0
47 , vgg19 , 1.0
51 , vgg19 , 1.0
54 , vgg19 , 1.0
58 , vgg19 , 1.0
63 , vgg19 , 1.0
66 , vgg19 , 1.0
70 , vgg19 , 1.0
78 , vgg19 , 1.0
82 , vgg19 , 1.0
85 , vgg19 , 1.0
90 , vgg19 , 1.0
94 , vgg19 , 1.0
98 , vgg19 , 1.0
101 , vgg19 , 1.0
105 , vgg19 , 1.0
109 , vgg19 , 1.0
116 , vgg19 , 1.0
120 , vgg19 , 1.0
124 , vgg19 , 1.0
128 , vgg19 , 1.0
135 , vgg19 , 1.0
140 , vgg19 , 1.0
146 , vgg19 , 1.0
150 , vgg19 , 1.0
155 , vgg19 , 1.0
166 , vgg19 , 1.0
171 , vgg19 , 1.0
175 , vgg19 , 1.0
180 , vgg19 , 1.0
186 , vgg19 , 1.0
191 , vgg19 , 1.0
195 , vgg19 , 1.0
200 , vgg19 , 1.0
201 , resnet50 , 1.0
202 , vgg19 , 1.0
206 , vgg19 , 1.0
211 , vgg19 , 1.0
217 , vgg19 , 1.0
221 , resnet50 , 1.0
230 , vgg19 , 1.0
232 , vgg19 , 1.0
237 , vgg19 , 1.0
248 , vgg19 , 1.0
253 , vgg19 , 1.0
257 , vgg19 , 1.0
262 , vgg19 , 1.0
268 , vgg19 , 1.0
272 , resnet50 , 1.0
273 , vgg19 , 1.0
276 , vgg19 , 1.0
279 , vgg19 , 1.0
283 , vgg19 , 1.0
288 , vgg19 , 1.0
291 , vgg19 , 1.0
295 , vgg19 , 1.0
299 , vgg19 , 1.0
303 , vgg19 , 1.0
311 , vgg19 , 1.0
314 , vgg19 , 1.0
319 , vgg19 , 1.0
334 , vgg19 , 1.0
337 , vgg19 , 1.0
341 , vgg19 , 1.0
346 , vgg19 , 1.0
