id, model-name, radio
13 , vgg19 , 1.0
21 , vgg19 , 1.0
25 , vgg19 , 1.0
28 , vgg19 , 1.0
33 , vgg19 , 1.0
37 , vgg19 , 1.0
41 , vgg19 , 1.0
44 , vgg19 , 1.0
48 , vgg19 , 1.0
52 , vgg19 , 1.0
56 , vgg19 , 1.0
59 , vgg19 , 1.0
84 , vgg19 , 1.0
96 , vgg19 , 1.0
101 , vgg19 , 1.0
116 , vgg19 , 1.0
121 , vgg19 , 1.0
123 , vgg19 , 1.0
154 , vgg19 , 1.0
159 , vgg19 , 1.0
172 , vgg19 , 1.0
180 , vgg19 , 1.0
185 , vgg19 , 1.0
189 , vgg19 , 1.0
197 , vgg19 , 1.0
200 , vgg19 , 1.0
205 , vgg19 , 1.0
212 , vgg19 , 1.0
217 , vgg19 , 1.0
224 , vgg19 , 1.0
228 , vgg19 , 1.0
232 , vgg19 , 1.0
237 , vgg19 , 1.0
240 , vgg19 , 1.0
244 , vgg19 , 1.0
248 , vgg19 , 1.0
252 , vgg19 , 1.0
256 , vgg19 , 1.0
269 , vgg19 , 1.0
272 , vgg19 , 1.0
276 , vgg19 , 1.0
284 , vgg19 , 1.0
291 , vgg19 , 1.0
296 , vgg19 , 1.0
300 , vgg19 , 1.0
324 , vgg19 , 1.0
335 , vgg19 , 1.0
339 , vgg19 , 1.0
343 , vgg19 , 1.0
346 , vgg19 , 1.0
359 , vgg19 , 1.0
376 , vgg19 , 1.0
387 , vgg19 , 1.0
392 , vgg19 , 1.0
395 , vgg19 , 1.0
399 , vgg19 , 1.0
403 , vgg19 , 1.0
408 , vgg19 , 1.0
412 , vgg19 , 1.0
415 , vgg19 , 1.0
419 , vgg19 , 1.0
423 , vgg19 , 1.0
431 , vgg19 , 1.0
435 , vgg19 , 1.0
440 , vgg19 , 1.0
444 , vgg19 , 1.0
447 , vgg19 , 1.0
452 , vgg19 , 1.0
456 , vgg19 , 1.0
460 , vgg19 , 1.0
467 , vgg19 , 1.0
472 , vgg19 , 1.0
479 , vgg19 , 1.0
484 , vgg19 , 1.0
487 , vgg19 , 1.0
492 , vgg19 , 1.0
495 , vgg19 , 1.0
499 , vgg19 , 1.0
504 , vgg19 , 1.0
507 , vgg19 , 1.0
511 , vgg19 , 1.0
519 , vgg19 , 1.0
540 , vgg19 , 1.0
544 , vgg19 , 1.0
548 , vgg19 , 1.0
552 , vgg19 , 1.0
559 , vgg19 , 1.0
566 , resnet50 , 1.0
570 , vgg19 , 1.0
574 , vgg19 , 1.0
578 , vgg19 , 1.0
582 , vgg19 , 1.0
586 , vgg19 , 1.0
594 , vgg19 , 1.0
598 , vgg19 , 1.0
602 , vgg19 , 1.0
607 , vgg19 , 1.0
609 , vgg19 , 1.0
614 , vgg19 , 1.0
618 , vgg19 , 1.0
626 , vgg19 , 1.0
